Year,MIROC5_rcp85
1950,2
1951,2
1952,1
1953,2
1954,1
1955,2
1956,1
1957,2
1958,1
1959,2
1960,1
1961,1
1962,2
1963,2
1964,2
1965,1
1966,1
1967,2
1968,2
1969,1
1970,1
1971,1
1972,2
1973,1
1974,1
1975,1
1976,1
1977,1
1978,2
1979,1
1980,1
1981,1
1982,1
1983,1
1984,2
1985,1
1986,1
1987,1
1988,2
1989,2
1990,2
1991,2
1992,1
1993,1
1994,2
1995,1
1996,2
1997,1
1998,1
1999,1
2000,1
2001,2
2002,1
2003,1
2004,1
2005,1
2006,2
2007,1
2008,1
2009,1
2010,1
2011,2
2012,1
2013,1
2014,1
2015,1
2016,2
2017,2
2018,1
2019,1
2020,2
2021,1
2022,1
2023,1
2024,1
2025,2
2026,1
2027,1
2028,1
2029,1
2030,1
2031,1
2032,2
2033,1
2034,1
2035,2
2036,1
2037,1
2038,2
2039,1
2040,1
2041,2
2042,1
2043,1
2044,2
2045,2
2046,2
2047,1
2048,1
2049,2
2050,2
2051,2
2052,1
2053,2
2054,1
2055,2
2056,2
2057,2
2058,2
2059,1
2060,1
2061,1
2062,2
2063,2
2064,1
2065,2
2066,1
2067,2
2068,2
2069,2
2070,2
2071,1
2072,1
2073,2
2074,1
2075,2
2076,1
2077,1
2078,2
2079,2
2080,1
2081,2
2082,2
2083,1
2084,1
2085,2
2086,2
2087,2
2088,1
2089,2
2090,2
2091,1
2092,2
2093,2
2094,2
2095,2
2096,2
2097,1
2098,2
2099,1
2100,2
